# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	195
#@/user_id	2a1abae4-5347-4626-9234-4227846a7145
ai ai 	皚皚	c=5 d=3.60287 t=195
ai qing 	愛情	c=1 d=0.38868 t=195
ai shang 	愛上	c=2 d=1.18607 t=195
ban 	班	c=1 d=0.447088 t=195
bi ye 	畢業	c=1 d=0.444858 t=195
bu liang ren 	不良人	c=3 d=1.33512 t=195
bu zai 	不再	c=2 d=1.30108 t=195
bu zhi 	不知	c=0 d=0.0551563 t=195
chong xin 	重新	c=1 d=0.603506 t=195
chu 	出	c=0 d=0.0904837 t=195
ci 	詞	c=1 d=0.843665 t=195
ci ku 	詞庫	c=3 d=2.66398 t=195
da bu 	打不	c=0 d=0.0904837 t=195
da bu chu 	打不出	c=1 d=0.909373 t=195
de 	的	c=4 d=2.31526 t=195
de dao 	得到	c=1 d=1 t=195
di 	低	c=1 d=0.67032 t=195
di er ji 	第二季	c=1 d=0.453845 t=195
dian nao dong hua 	電腦動畫	c=1 d=0.449329 t=195
er 	而	c=3 d=1.91012 t=195
er wei ma 	二維碼	c=2 d=1.12093 t=195
fa 	法	c=1 d=0.882497 t=195
fang cao 	芳草	c=2 d=1.43814 t=195
fang zheng 	方正	c=1 d=0.509156 t=195
gai 	改	c=1 d=0.524663 t=195
ge duan 	割斷	c=1 d=0.631284 t=195
ge ren 	個人	c=2 d=1.76924 t=195
ge ren ci ku 	個人詞庫	c=1 d=0.865022 t=195
gu 	谷	c=1 d=0.666977 t=195
guo qu 	過去	c=1 d=0.634448 t=195
han zi 	漢字	c=1 d=0.913931 t=195
hua 	畫	c=2 d=0.846335 t=195
hua 	話	c=0 d=0.0416862 t=195
hua jiang hu 	話江湖	c=2 d=0.842114 t=195
huang ye 	荒野	c=1 d=0.67368 t=195
hui yi 	回憶	c=1 d=0.647265 t=195
ji lei 	積累	c=1 d=0.860708 t=195
jiang hu 	江湖	c=0 d=0.0416862 t=195
jie xi 	解析	c=1 d=0.543351 t=195
jing ji 	荊棘	c=1 d=0.677057 t=195
jiu 	就	c=1 d=0.636417 t=195
jiu shi guang 	就時光	c=1 d=0.740818 t=195
ju zhen 	矩陣	c=0 d=0.0826959 t=195
ju zheng 	舉證	c=1 d=0.540279 t=195
kai shi 	開始	c=1 d=0.606531 t=195
kan jian 	看見	c=1 d=0.687289 t=195
ke ai 	可愛	c=1 d=0.496585 t=195
ke yi 	可以	c=1 d=0.396531 t=195
la 	啦	c=2 d=0.82339 t=195
lao shi 	老師	c=1 d=0.494109 t=195
li 	裏	c=0 d=0.0609571 t=195
liang ge 	兩個	c=1 d=0.826959 t=195
mei 	沒	c=1 d=0.410656 t=195
mei hua 	美化	c=1 d=0.537944 t=195
mei you 	沒有	c=1 d=0.904837 t=195
meng xiang 	夢想	c=1 d=0.472367 t=195
mi tang 	蜜糖	c=2 d=1.00376 t=195
miao 	喵	c=1 d=0.491644 t=195
ne 	呢	c=1 d=0.398519 t=195
ni 	你	c=1 d=0.810584 t=195
pei zhi 	配置	c=1 d=0.873716 t=195
pi fu 	皮膚	c=4 d=3.83362 t=195
piao tian 	飄天	c=1 d=0.433874 t=195
qi 	期	c=1 d=0.790571 t=195
qi qi 	萋萋	c=1 d=0.737123 t=195
qi zhi 	氣質	c=1 d=0.477114 t=195
qie huan 	切換	c=1 d=0.895834 t=195
qing 	情	c=1 d=0.806541 t=195
qing 	請	c=0 d=0.0551563 t=195
qing bu zhi suo qi 	請不知所起	c=1 d=0.554327 t=195
qing huai 	情懷	c=1 d=0.481909 t=195
qu 	去	c=1 d=0.679291 t=195
ran ran 	冉冉	c=1 d=0.701173 t=195
